Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0,"4,427","2,343","32,539","1,794",0.07,1.31,$38.21,$2.75,$49.89
11-20,"4,427","8,954","6,554","62,997","3,626",0.10,1.81,$26.67,$2.77,$48.21
21-30,"8,954","13,874","11,495","96,539","5,576",0.12,2.06,$23.37,$2.78,$48.17
31-40,"13,874","21,652","17,543","158,946","8,637",0.11,2.03,$22.51,$2.48,$45.72
41-50,"21,652","30,318","25,875","180,835","10,447",0.14,2.48,$19.84,$2.84,$49.13
51-60,"30,318","44,216","36,873","258,638","14,697",0.14,2.51,$19.84,$2.83,$49.77
61-70,"44,216","65,615","54,245","349,218","20,026",0.16,2.71,$17.74,$2.76,$48.05
71-80,"65,615","105,905","85,841","527,910","30,663",0.16,2.80,$17.45,$2.84,$48.87
81-90,"105,905","205,238","146,627","740,681","43,555",0.20,3.37,$15.01,$2.97,$50.53
>90,"205,238","5,212,525","603,442","1,372,569","75,695",0.44,7.97,$7.99,$3.51,$63.68
Total,0,"5,212,525","99,349","378,445","21,490",0.26,4.62,$11.75,$3.08,$54.30
