Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0,"3,214","1,776","26,571","1,441",0.07,1.23,$39.50,$2.64,$48.69
11-20,"3,214","6,175","4,817","50,511","3,046",0.10,1.58,$30.31,$2.89,$47.93
21-30,"6,175","10,121","8,099","65,009","4,131",0.12,1.96,$25.23,$3.14,$49.46
31-40,"10,121","14,366","12,292","102,289","6,323",0.12,1.94,$24.17,$2.90,$46.99
41-50,"14,366","20,199","17,158","147,880","8,648",0.12,1.98,$22.98,$2.67,$45.59
51-60,"20,199","27,174","23,538","167,989","10,120",0.14,2.33,$19.90,$2.79,$46.27
61-70,"27,174","39,166","32,688","247,322","14,783",0.13,2.21,$21.36,$2.82,$47.23
71-80,"39,166","57,066","47,809","340,795","20,172",0.14,2.37,$19.82,$2.78,$46.97
81-90,"57,066","96,681","74,749","520,921","30,333",0.14,2.46,$20.08,$2.88,$49.49
>90,"96,681","1,420,691","186,045","1,362,209","75,755",0.14,2.46,$17.51,$2.39,$43.00
Total,0,"1,420,691","40,959","303,622","17,501",0.13,2.34,$19.52,$2.63,$45.68
