State,2016,2017,2018,2019
Alabama,0.00,0.00,0.00,0.01
Alaska,1.67,1.56,1.61,1.64
Arizona,0.86,0.78,0.75,0.75
Arkansas,0.13,0.12,0.13,0.13
California,4.98,4.68,4.43,4.42
Colorado,9.18,10.34,10.77,11.34
Connecticut,0.34,0.33,0.22,0.20
Delaware,,,,
Florida,0.59,0.50,0.86,0.91
Georgia,,,,
Hawaii,0.76,0.71,0.69,0.68
Idaho,0.84,0.84,0.79,0.86
Illinois,2.18,2.02,1.65,1.46
Indiana,0.68,0.61,0.57,0.55
Iowa,1.29,1.10,1.08,1.07
Kansas,0.48,0.52,0.54,0.56
Kentucky,0.46,0.51,0.55,0.61
Louisiana,,,,
Maine,0.66,0.70,0.70,0.73
Maryland,2.77,2.72,2.57,2.53
Massachusetts,1.79,1.77,1.75,1.73
Michigan,1.15,1.21,1.18,1.23
Minnesota,1.51,1.52,1.54,1.51
Mississippi,1.88,1.92,1.97,1.80
Missouri,0.09,0.08,0.01,0.01
Montana,0.81,0.82,0.79,0.88
Nebraska,0.00,0.00,0.02,0.02
Nevada,0.39,0.39,0.34,0.36
New Hampshire,0.97,0.91,0.88,0.90
New Jersey,0.14,0.16,0.17,0.15
New Mexico,1.26,1.20,0.82,0.85
New York,3.33,3.27,3.16,3.10
North Carolina,2.06,2.04,2.07,2.09
North Dakota,0.10,0.09,0.09,0.09
Ohio,0.46,0.70,0.85,1.05
Oklahoma,0.64,0.55,0.57,0.53
Oregon,1.30,1.30,1.24,1.27
Pennsylvania,2.05,2.01,1.84,1.85
Rhode Island,,,,
South Carolina,0.09,0.09,0.09,0.08
South Dakota,,,,
Tennessee,3.79,3.73,3.78,4.01
Texas,0.65,0.67,0.62,0.64
Utah,1.89,2.10,2.37,2.71
Vermont,1.44,1.55,1.55,1.29
Virginia,1.08,1.03,0.97,1.06
Washington,4.70,4.72,4.86,4.86
West Virginia,0.96,0.91,0.86,0.88
Wisconsin,1.06,0.97,0.97,1.01
Wyoming,1.71,1.67,1.72,1.73
