State,2016,2017,2018,2019
Alabama,,,,
Alaska,0.14,0.13,0.05,0.05
Arizona,0.10,0.09,0.08,0.00
Arkansas,,,,
California,0.80,0.75,0.69,0.66
Colorado,5.33,5.68,5.86,6.19
Connecticut,0.04,0.03,0.02,0.02
Delaware,,,,
Florida,0.13,0.11,0.08,0.07
Georgia,,,,
Hawaii,1.01,0.90,0.87,0.62
Idaho,0.05,0.05,0.04,0.04
Illinois,,,,
Indiana,,,,
Iowa,0.00,0.00,0.00,0.02
Kansas,,,,
Kentucky,,,,
Louisiana,,,,
Maine,0.17,0.16,0.17,0.53
Maryland,,,,
Massachusetts,,,,
Michigan,0.83,0.82,0.82,0.86
Minnesota,,,,
Mississippi,,,,
Missouri,,,,
Montana,0.05,0.05,0.03,0.03
Nebraska,,,,
Nevada,0.01,0.01,0.01,0.01
New Hampshire,,,,
New Jersey,,,,
New Mexico,,,,
New York,0.07,0.07,0.08,0.08
North Carolina,0.00,0.01,0.01,0.02
North Dakota,0.02,0.02,0.02,0.02
Ohio,,,,
Oklahoma,,,,
Oregon,0.66,0.65,0.64,0.58
Pennsylvania,0.13,0.13,0.12,0.11
Rhode Island,,,,
South Carolina,0.13,0.20,0.20,0.00
South Dakota,,,,
Tennessee,,,,
Texas,0.49,0.56,0.54,0.57
Utah,,,,
Vermont,0.30,0.30,0.30,0.27
Virginia,,,,
Washington,0.64,0.58,0.48,0.41
West Virginia,,,,
Wisconsin,1.47,1.53,0.09,0.13
Wyoming,,,,
