State,2016,2017,2018,2019
Alabama,1.09,1.03,1.02,0.98
Alaska,1.93,1.79,1.76,1.78
Arizona,0.98,0.97,0.93,0.82
Arkansas,1.03,1.02,1.00,1.03
California,6.93,6.50,6.23,6.15
Colorado,15.27,16.72,17.25,18.16
Connecticut,0.46,0.43,0.29,0.27
Delaware,,,,
Florida,1.70,1.76,1.93,1.90
Georgia,1.70,1.62,1.59,1.56
Hawaii,1.91,1.77,1.70,1.43
Idaho,1.01,1.01,0.90,0.96
Illinois,4.27,4.13,3.76,3.53
Indiana,2.49,2.38,2.02,1.93
Iowa,4.25,4.13,3.93,3.69
Kansas,1.36,1.44,1.47,1.46
Kentucky,2.63,2.68,2.69,2.88
Louisiana,0.49,0.44,0.47,0.50
Maine,1.37,1.41,1.40,1.56
Maryland,3.03,2.95,2.81,2.76
Massachusetts,1.85,1.82,1.79,1.77
Michigan,6.74,6.66,6.77,6.76
Minnesota,3.73,3.87,4.00,3.94
Mississippi,2.92,2.95,3.07,2.86
Missouri,2.24,2.22,2.20,2.06
Montana,1.36,1.34,1.27,1.36
Nebraska,0.65,0.65,0.64,0.63
Nevada,0.59,0.59,0.55,0.53
New Hampshire,1.04,0.96,0.94,0.96
New Jersey,0.43,0.43,0.34,0.31
New Mexico,1.54,1.47,1.07,1.10
New York,3.59,3.53,3.43,3.36
North Carolina,4.42,4.39,4.43,4.42
North Dakota,0.56,0.53,0.56,0.57
Ohio,3.37,3.15,2.60,2.70
Oklahoma,2.82,2.54,2.52,2.49
Oregon,2.53,2.47,2.44,2.40
Pennsylvania,2.69,2.62,2.45,2.42
Rhode Island,,,,
South Carolina,0.64,0.70,0.73,0.48
South Dakota,1.42,1.43,1.32,1.29
Tennessee,4.79,4.56,4.62,4.84
Texas,3.13,3.09,3.02,3.13
Utah,1.91,2.12,2.40,2.74
Vermont,2.34,2.49,2.48,2.14
Virginia,1.80,1.80,1.62,1.57
Washington,5.93,5.88,5.91,5.85
West Virginia,1.15,1.11,1.04,1.07
Wisconsin,2.69,2.66,2.69,2.77
Wyoming,2.11,2.04,2.08,2.08
