State,2016,2017,2018,2019
Alabama,3.9,3.7,3.7,3.8
Alaska,2.8,2.5,2.4,2.3
Arizona,2.6,2.8,2.8,2.3
Arkansas,11.2,11.4,12.3,12.1
California,16.8,16.6,17.0,16.9
Colorado,18.4,19.1,20.0,20.3
Connecticut,1.7,1.6,1.0,1.0
Delaware,0.0,0.0,0.0,0.0
Florida,11.5,13.3,13.8,12.7
Georgia,16.5,16.0,15.9,16.3
Hawaii,5.6,5.3,4.6,3.9
Idaho,2.5,2.4,1.6,1.5
Illinois,16.6,16.7,16.6,16.9
Indiana,13.5,13.6,11.2,10.7
Iowa,13.9,14.4,14.4,14.8
Kansas,7.3,7.4,7.0,6.9
Kentucky,26.1,28.2,28.5,27.8
Louisiana,4.9,4.9,5.0,5.1
Maine,11.7,12.0,11.9,4.8
Maryland,3.6,3.5,3.3,3.2
Massachusetts,2.0,2.0,2.0,2.1
Michigan,23.3,24.6,25.7,25.4
Minnesota,12.0,13.2,13.5,13.4
Mississippi,10.5,10.6,11.6,10.4
Missouri,20.9,21.2,21.6,20.1
Montana,3.7,3.8,3.8,3.7
Nebraska,2.8,2.8,3.2,3.4
Nevada,1.7,1.6,1.6,1.6
New Hampshire,1.6,1.2,1.2,1.2
New Jersey,1.8,1.8,1.8,1.6
New Mexico,4.5,4.6,2.5,2.5
New York,12.2,12.2,12.5,12.4
North Carolina,26.2,26.3,26.8,26.6
North Dakota,2.9,2.9,2.8,2.9
Ohio,12.5,13.9,13.9,14.1
Oklahoma,17.7,17.1,16.7,14.7
Oregon,7.9,8.1,8.4,8.7
Pennsylvania,7.8,7.7,7.7,7.4
Rhode Island,0.0,0.0,0.0,0.0
South Carolina,5.4,5.3,5.7,5.3
South Dakota,4.0,4.1,4.0,3.8
Tennessee,18.5,16.0,15.3,15.1
Texas,18.4,20.3,20.5,20.2
Utah,1.6,1.6,2.4,2.6
Vermont,15.8,16.6,16.1,14.9
Virginia,7.0,7.4,6.9,6.7
Washington,15.5,15.7,16.1,15.7
West Virginia,4.6,4.5,4.4,4.5
Wisconsin,8.8,9.0,9.4,10.0
Wyoming,2.8,2.7,2.8,2.8
