State,Total Trips Per VRM,Fixed-Route Trips Per VRM,Demand-Response Trips Per VRM,Total Trips Per VRH,Fixed-Route Trips Per VRH,Demand-Response Trips Per VRH,Operating Expense Per Trip,Operating Expense Per VRM,Operating Expense Per VRH,Farebox Recovery Ratio
Alabama,0.22,0.12,0.22,3.97,1.00,4.02,$15.74 ,$3.52 ,$62.53 ,0.05
Alaska,0.62,0.88,0.11,10.80,15.55,1.90,$12.09 ,$7.55 ,$130.55 ,0.16
Arizona,0.33,0.35,0.18,5.14,5.80,2.20,$12.02 ,$3.97 ,$61.80 ,0.06
Arkansas,0.07,0.48,0.07,1.40,5.28,1.28,$28.10 ,$2.06 ,$39.44 ,0.10
California,0.32,0.34,0.29,6.23,7.67,3.27,$18.01 ,$5.83 ,$112.16 ,0.10
Colorado,0.80,1.25,0.14,12.26,17.74,1.87,$7.77 ,$6.20 ,$95.26 ,0.05
Connecticut,0.32,0.48,0.11,5.06,7.28,1.68,$13.60 ,$4.35 ,$68.85 ,0.05
Delaware,-,-,-,-,-,-,-,-,-,-
Florida,0.13,0.33,0.09,2.40,5.30,1.58,$23.69 ,$3.10 ,$56.86 ,0.09
Georgia,0.09,-,0.09,1.50,-,1.50,$26.83 ,$2.38 ,$40.35 ,0.03
Hawaii,0.32,0.59,0.21,6.70,11.16,3.17,$18.01 ,$5.74 ,$120.72 ,0.08
Idaho,0.63,0.86,0.28,11.92,15.19,3.25,$6.52 ,$4.10 ,$77.72 ,0.10
Illinois,0.18,0.29,0.14,3.36,6.80,2.51,$18.69 ,$3.34 ,$62.82 ,0.04
Indiana,0.15,0.40,0.13,2.27,5.20,1.95,$21.99 ,$3.29 ,$49.95 ,0.05
Iowa,0.24,0.55,0.19,3.29,8.10,2.59,$16.34 ,$3.89 ,$53.68 ,0.18
Kansas,0.21,0.36,0.17,3.36,5.21,2.80,$14.91 ,$3.06 ,$50.03 ,0.06
Kentucky,0.10,0.43,0.08,1.53,4.97,1.28,$24.34 ,$2.42 ,$37.22 ,0.03
Louisiana,0.09,-,0.09,1.51,-,1.51,$28.31 ,$2.54 ,$42.64 ,0.03
Maine,0.34,0.84,0.08,6.12,12.27,1.62,$19.43 ,$6.60 ,$118.81 ,0.21
Maryland,0.73,1.15,0.16,9.96,15.67,2.19,$5.76 ,$4.18 ,$57.37 ,0.20
Massachusetts,0.75,0.85,0.13,11.42,13.43,1.63,$9.24 ,$6.91 ,$105.50 ,0.17
Michigan,0.23,0.26,0.18,3.63,4.27,2.89,$18.00 ,$4.11 ,$65.41 ,0.08
Minnesota,0.27,0.27,0.27,3.88,4.35,3.66,$17.67 ,$4.80 ,$68.52 ,0.06
Mississippi,0.20,0.87,0.08,4.29,12.79,1.92,$13.63 ,$2.77 ,$58.44 ,0.06
Missouri,0.12,0.24,0.12,1.92,2.66,1.92,$21.67 ,$2.66 ,$41.70 ,0.26
Montana,0.34,0.49,0.24,5.27,9.44,3.01,$12.41 ,$4.23 ,$65.40 ,0.05
Nebraska,0.19,0.17,0.19,2.82,1.93,2.87,$19.29 ,$3.64 ,$54.31 ,0.13
Nevada,0.27,0.57,0.14,4.71,9.75,2.40,$17.39 ,$4.75 ,$81.93 ,0.06
New Hampshire,0.76,0.98,0.15,8.56,13.56,1.12,$7.89 ,$5.97 ,$67.54 ,0.03
New Jersey,0.16,0.32,0.11,2.75,6.91,1.74,$29.28 ,$4.65 ,$80.42 ,0.04
New Mexico,0.33,0.38,0.26,4.33,5.53,3.01,$18.25 ,$6.02 ,$79.00 ,0.03
New York,0.20,0.21,0.21,3.90,4.03,2.25,$21.42 ,$4.37 ,$83.60 ,0.04
North Carolina,0.16,1.13,0.09,3.00,15.92,1.70,$14.82 ,$2.43 ,$44.50 ,0.03
North Dakota,0.19,0.46,0.17,2.53,7.07,2.26,$20.83 ,$3.92 ,$52.67 ,0.10
Ohio,0.15,0.36,0.12,2.51,4.71,2.11,$29.08 ,$4.26 ,$72.92 ,0.03
Oklahoma,0.16,0.61,0.14,2.14,9.46,1.82,$16.01 ,$2.57 ,$34.19 ,0.04
Oregon,0.24,0.34,0.17,4.37,6.26,2.31,$15.76 ,$3.82 ,$68.86 ,0.09
Pennsylvania,0.21,0.47,0.12,3.83,7.51,2.20,$19.27 ,$4.05 ,$73.77 ,0.44
Rhode Island,-,-,-,-,-,-,-,-,-,-
South Carolina,0.07,-,0.07,1.80,-,1.65,$23.80 ,$1.77 ,$42.80 ,0.47
South Dakota,0.29,-,0.29,3.60,-,3.60,$21.54 ,$6.21 ,$77.46 ,0.11
Tennessee,0.29,2.26,0.07,5.24,26.05,1.26,$9.87 ,$2.89 ,$51.71 ,0.05
Texas,0.13,0.50,0.12,2.83,8.06,2.19,$24.12 ,$3.13 ,$68.26 ,0.09
Utah,1.08,1.14,0.12,17.28,18.33,1.87,$6.76 ,$7.29 ,$116.89 ,0.00
Vermont,0.13,0.63,0.04,3.25,10.12,1.17,$16.29 ,$2.04 ,$52.96 ,0.25
Virginia,0.20,0.30,0.12,3.65,5.44,2.13,$15.20 ,$3.11 ,$55.44 ,0.04
Washington,0.24,0.33,0.10,4.82,7.19,1.62,$26.48 ,$6.43 ,$127.71 ,0.04
West Virginia,0.21,0.27,0.10,3.60,5.64,1.38,$15.26 ,$3.14 ,$54.96 ,0.12
Wisconsin,0.26,0.39,0.22,3.08,5.96,2.45,$11.71 ,$3.02 ,$36.12 ,0.25
Wyoming,0.62,1.07,0.24,7.40,15.15,2.44,$7.72 ,$4.82 ,$57.15 ,0.04
