State,Total Trips Per VRM,Fixed-Route Trips Per VRM,Demand-Response Trips Per VRM,Total Trips Per VRH,Fixed-Route Trips Per VRH,Demand-Response Trips Per VRH,Operating Expense Per Trip,Operating Expense Per VRM,Operating Expense Per VRH,Farebox Recovery Ratio
Alabama,0.16,0.21,0.15,3.04,2.82,3.04,17.3,2.83,46.2,0.05
Alaska,0.62,0.67,0.12,7.48,8.82,1.92,20.55,6.84,85.97,0.1
Arizona,0.21,0.23,0.24,2.41,2.24,2.37,23.28,4.26,67.01,0.04
Arkansas,0.08,0.54,0.07,1.47,6.73,1.4,20.79,2.18,37.51,0.06
California,0.3,0.29,0.32,5.59,5.96,3.47,17.42,5.56,97.15,0.1
Colorado,0.51,1.03,0.16,6.03,15.98,2.21,8.83,4.18,58.64,0.03
Connecticut,0.21,0.4,0.08,4.05,5.48,1.29,14.93,3.51,60.49,0.08
Delaware,-,-,-,-,-,-,-,-,-,-
Florida,0.09,0.16,0.09,1.88,2.62,1.58,26.93,2.81,53.35,0.03
Georgia,0.1,-,0.1,1.66,-,1.66,20.41,2.02,32.84,0.04
Hawaii,0.38,0.62,0.17,6.59,12,1.93,15.72,5.59,95.93,0.08
Idaho,0.36,0.49,0.2,6.04,15.38,2.28,9.13,3.33,67.87,0.01
Illinois,0.14,0.24,0.12,2.53,4.21,2.21,19.73,2.9,49.98,0.04
Indiana,0.15,0.56,0.15,2.37,6.46,2.2,17.94,2.99,41.97,0.06
Iowa,0.25,0.72,0.23,3.7,8.7,2.96,12.72,3.66,50.08,0.08
Kansas,0.25,0.33,0.24,3.2,4.47,2.92,12.92,2.79,41.96,0.08
Kentucky,0.09,0.36,0.09,1.71,4.6,1.17,22.93,2.07,34.24,0.03
Louisiana,0.09,-,0.09,1.55,-,1.55,27.82,2.3,39.34,0.03
Maine,0.25,0.32,0.08,3.6,4.15,1.67,22.47,4.03,62.36,0.06
Maryland,0.15,0.15,0.17,2.46,2.66,1.69,18.77,3.51,40.14,0.08
Massachusetts,0.94,0.98,0.13,10.38,11.05,1.68,9.67,5.16,85.08,0.21
Michigan,0.24,0.46,0.21,3.51,8.2,3.42,15.09,3.37,53.96,0.09
Minnesota,0.3,0.23,0.34,4.27,3.67,4.02,13.44,4.1,55.64,0.09
Mississippi,0.12,1.27,0.11,3.28,20.53,3.04,14.95,2.06,42.84,0.03
Missouri,0.29,0.34,0.27,3.03,3.52,2.79,16.38,2.64,40.53,0.09
Montana,0.26,0.37,0.23,2.76,7.1,2.35,15.16,3.67,39.79,0.06
Nebraska,0.18,0.14,0.19,2.93,2.02,2.93,20.94,3.28,49.94,0.08
Nevada,0.27,0.23,0.22,3.19,2.98,2.71,19.86,4.58,64.99,0.05
New Hampshire,0.28,0.34,0.17,4.02,4.74,1.55,13.07,4.74,68.29,0.04
New Jersey,0.15,0.34,0.13,2.35,7.51,1.9,28.79,4.11,65.18,0.01
New Mexico,0.31,0.43,0.22,5.17,6,2.72,11.97,3.71,51.26,0.05
New York,0.22,0.2,0.22,4.05,4.05,2.66,16.86,4.08,72.73,0.06
North Carolina,0.1,0.21,0.09,2.05,3.31,1.82,19.24,2.14,40.96,0.03
North Dakota,0.16,0.61,0.14,2.28,8.73,2.26,20.11,3.37,47.05,0.08
Ohio,0.14,0.34,0.12,2.35,3.93,2.35,24.45,2.82,53.83,0.04
Oklahoma,0.2,0.32,0.2,2.46,4.43,2.21,14.32,2.91,33.43,0.06
Oregon,0.25,0.34,0.18,3.46,5.71,2.41,15.92,3.37,65.68,0.09
Pennsylvania,0.37,0.5,0.18,5.56,6.31,2.5,14.4,4.98,75.27,0.4
Rhode Island,-,-,-,-,-,-,-,-,-,-
South Carolina,0.08,0.23,0.08,1.74,3.48,1.74,25.97,1.81,38.79,0.02
South Dakota,0.52,-,0.52,4.3,-,4.3,10.98,3.93,46.65,0.12
Tennessee,0.08,0.33,0.06,1.36,3.97,1.27,28.85,1.9,43.75,0.04
Texas,0.12,0.25,0.11,2.37,3.68,1.99,21.46,2.87,58.37,0.04
Utah,0.25,0.31,0.13,4.17,5.23,2.04,7.5,3.51,89.53,0.02
Vermont,0.1,0.53,0.05,2.51,8.65,1.46,17.77,1.81,44.61,0.01
Virginia,0.22,0.34,0.19,4.06,5.96,2.51,10.68,2.62,46.34,0.05
Washington,0.15,0.22,0.14,3.22,5.05,1.85,25.33,3.94,81.15,0.04
West Virginia,0.17,0.17,0.12,2.84,4.3,1.68,16.12,2.96,44.02,0.06
Wisconsin,0.28,0.18,0.27,2.89,3.12,2.81,9.66,2.83,28.54,0.33
Wyoming,0.29,0.74,0.28,2.88,12.24,2.54,12.87,3.1,30.95,0.07
