State,Total Trips Per VRM,Fixed-Route Trips Per VRM,Demand-Response Trips Per VRM,Total Trips Per VRH,Fixed-Route Trips Per VRH,Demand-Response Trips Per VRH,Operating Expense Per Trip,Operating Expense Per VRM,Operating Expense Per VRH,Farebox Recovery Ratio
Alabama,0.13,0.12,0.13,2.34,1.00,2.34,$27.05,$3.44,$66.22,0.05
Alaska,0.60,0.78,0.11,6.92,10.18,2.07,$27.55,$7.49,$94.04,0.09
Arizona,0.19,0.32,0.17,2.83,4.19,2.18,$25.00,$4.20,$63.44,0.03
Arkansas,0.07,0.45,0.07,1.29,5.39,1.32,$29.26,$2.52,$41.98,0.08
California,0.28,0.25,0.29,4.98,5.53,2.88,$24.08,$6.69,$115.33,0.08
Colorado,0.40,0.83,0.14,5.27,11.03,1.63,$16.97,$5.32,$89.00,0.01
Connecticut,0.23,0.46,0.08,3.62,6.19,1.14,$17.87,$4.61,$69.10,0.05
Delaware,-,-,-,-,-,-,-,-,-,-
Florida,0.08,0.14,0.08,1.62,2.02,1.59,$33.44,$3.04,$53.70,0.04
Georgia,0.10,-,0.10,1.51,-,1.51,$27.98,$2.72,$38.94,0.04
Hawaii,0.35,0.59,0.20,6.90,11.16,3.02,$18.39,$5.84,$119.16,0.08
Idaho,0.44,0.63,0.27,9.92,13.91,2.80,$7.80,$4.00,$79.26,0.06
Illinois,0.13,0.23,0.13,2.33,5.23,2.26,$25.00,$3.39,$58.01,0.03
Indiana,0.13,0.44,0.13,1.93,3.17,1.84,$27.87,$3.94,$57.55,0.03
Iowa,0.26,0.65,0.21,3.58,8.09,2.66,$15.28,$4.32,$54.28,0.16
Kansas,0.24,0.32,0.22,3.00,4.20,2.76,$15.89,$3.11,$52.23,0.07
Kentucky,0.11,0.29,0.09,1.51,4.45,1.07,$27.61,$2.63,$37.73,0.02
Louisiana,0.08,-,0.08,1.36,-,1.36,$31.81,$2.71,$41.96,0.03
Maine,0.30,0.31,0.08,4.43,4.11,1.30,$26.02,$5.43,$85.84,0.07
Maryland,0.15,0.14,0.16,2.21,2.51,1.69,$21.74,$3.88,$57.89,0.09
Massachusetts,0.82,0.84,0.13,9.10,9.52,1.64,$11.89,$6.41,$108.17,0.16
Michigan,0.20,0.35,0.18,2.88,5.08,2.70,$22.03,$4.18,$64.71,0.07
Minnesota,0.29,0.22,0.32,3.83,3.32,3.77,$16.92,$4.94,$62.67,0.08
Mississippi,0.09,0.86,0.09,2.18,13.72,1.99,$27.88,$2.41,$60.27,0.03
Missouri,0.24,0.24,0.25,2.84,2.66,2.96,$17.75,$3.11,$43.61,0.07
Montana,0.23,0.32,0.19,2.66,5.90,2.39,$18.09,$4.03,$52.60,0.05
Nebraska,0.17,0.26,0.17,2.86,2.31,2.86,$22.28,$4.00,$63.17,0.09
Nevada,0.24,0.26,0.20,3.22,3.38,2.79,$24.57,$4.40,$66.46,0.03
New Hampshire,0.28,0.32,0.14,3.90,4.51,1.55,$16.23,$5.33,$73.91,0.03
New Jersey,0.13,0.31,0.11,2.28,6.86,1.67,$35.41,$4.37,$77.32,0.02
New Mexico,0.28,0.32,0.20,4.00,4.97,2.42,$20.08,$5.18,$68.80,0.02
New York,0.18,0.16,0.15,3.20,2.82,2.32,$28.23,$4.54,$88.78,0.02
North Carolina,0.09,0.19,0.09,1.83,3.02,1.72,$23.95,$2.38,$45.26,0.02
North Dakota,0.18,0.46,0.17,2.10,7.07,2.08,$24.97,$4.53,$52.93,0.08
Ohio,0.12,0.30,0.11,2.09,3.37,2.09,$31.30,$3.92,$62.20,0.02
Oklahoma,0.20,0.30,0.20,2.04,4.87,1.86,$17.25,$3.00,$33.94,0.04
Oregon,0.20,0.28,0.18,3.21,4.10,2.28,$19.87,$3.77,$63.36,0.07
Pennsylvania,0.13,0.52,0.12,2.63,7.31,2.29,$24.81,$3.70,$65.33,0.72
Rhode Island,-,-,-,-,-,-,-,-,-,-
South Carolina,0.07,-,0.07,1.56,-,1.56,$26.27,$1.79,$44.31,0.47
South Dakota,0.40,-,0.40,3.90,-,3.90,$20.72,$7.34,$82.02,0.10
Tennessee,0.08,0.36,0.06,1.40,2.81,1.31,$36.64,$2.84,$49.33,0.03
Texas,0.10,0.23,0.09,2.01,3.39,1.73,$28.50,$3.43,$66.44,0.08
Utah,0.21,0.23,0.11,3.16,3.62,1.70,$9.80,$4.19,$105.74,0.01
Vermont,0.08,0.45,0.04,2.24,7.18,1.29,$23.25,$2.14,$53.16,0.16
Virginia,0.19,0.33,0.17,3.32,5.34,2.14,$14.46,$3.38,$53.83,0.03
Washington,0.11,0.16,0.11,2.18,2.38,1.49,$41.24,$5.22,$106.50,0.02
West Virginia,0.14,0.18,0.11,2.76,4.09,1.21,$18.54,$2.95,$48.75,0.08
Wisconsin,0.27,0.51,0.26,2.62,5.74,2.54,$11.34,$3.12,$29.81,0.28
Wyoming,0.22,0.28,0.20,2.22,3.68,2.09,$17.41,$3.89,$36.60,0.04
