State,Number of Agencies,25th,50th,75th
Alabama,21,"68,568","85,354","142,409"
Alaska,10,"31,065","132,595","315,176"
Arizona,15,"57,701","85,620","236,332"
Arkansas,8,"138,177","392,306","2,061,755"
California,53,"61,374","145,163","420,148"
Colorado,35,"59,846","120,713","335,112"
Connecticut,3,"210,563","236,101","336,809"
Delaware,0,-,-,-
Florida,18,"286,705","431,374","590,890"
Georgia,74,"43,601","79,868","163,711"
Hawaii,2,"1,621,856","1,893,286","2,164,715"
Idaho,8,"50,002","72,343","115,428"
Illinois,38,"162,556","288,356","489,496"
Indiana,38,"79,444","128,240","232,527"
Iowa,21,"234,063","355,381","815,767"
Kansas,73,"14,387","36,928","79,441"
Kentucky,21,"304,798","809,732","1,502,018"
Louisiana,32,"79,960","106,442","153,172"
Maine,10,"38,520","232,883","876,904"
Maryland,6,"315,585","490,004","521,316"
Massachusetts,3,"397,010","501,352","689,209"
Michigan,60,"117,610","233,355","400,256"
Minnesota,30,"104,254","235,536","494,081"
Mississippi,18,"157,527","435,015","679,012"
Missouri,21,"23,403","35,931","157,723"
Montana,35,"21,882","53,475","107,516"
Nebraska,52,"13,349","23,464","67,457"
Nevada,12,"44,066","67,421","147,213"
New Hampshire,6,"81,673","135,566","170,122"
New Jersey,4,"255,371","329,675","417,546"
New Mexico,13,"41,529","122,513","167,482"
New York,39,"123,693","177,671","316,463"
North Carolina,57,"211,400","321,942","524,384"
North Dakota,21,"36,656","83,411","149,130"
Ohio,37,"163,439","281,674","404,366"
Oklahoma,20,"126,743","364,974","677,976"
Oregon,25,"164,647","293,057","501,040"
Pennsylvania,23,"286,750","454,735","736,437"
Rhode Island,0,-,-,-
South Carolina,9,"383,649","466,251","596,242"
South Dakota,14,"30,297","123,364","287,879"
Tennessee,8,"706,013","1,884,928","2,246,583"
Texas,27,"226,396","417,941","894,236"
Utah,3,"186,502","291,714","1,094,696"
Vermont,7,"744,135","2,455,142","2,993,018"
Virginia,16,"111,787","328,610","506,734"
Washington,27,"174,935","279,422","440,081"
West Virginia,10,"236,220","419,164","615,383"
Wisconsin,48,"63,611","131,638","298,184"
Wyoming,32,"14,237","29,481","50,862"
