Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,Vehicle Revenue Hours, Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,Any data questionable
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,427",RB,DO,156,,0,,6.35,,1.8, W ,35.58, W ,"3,103,987",,"3,350,566",,3151031,,"199,535",,"527,544",,495948,,"31,596",,0,,0,,0,,0,,17648255, W ,"31,702,817",W,71.3,,Yes
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,427",MB,DO,"3,201",,0,,7.01,,2.2, W ,35.27, W ,"80,558,004",,"91,546,649",,80118986,,"11,427,663",,"13,066,490",,11429343,,"1,637,147",,0,,0,,0,,0,,403160315, W ,"888,168,117",W,"1,749.60",,Yes
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,427",HR,DO,"5,413",,527,,18.22,,4.2,,62.4,,"376,401,985",,"334,949,157",,324782077,,"10,167,080",,"18,782,357",,17829918,,"952,439",,"36,770,774",,"35,625,281",,"2,060,234",,"1,955,760",,1112653405,,"4,676,670,633",,493.7,,No
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,427",DR,PT,"1,222",,0,,10.67,,8.7,,1.11,,0,,"30,098,565",,24052883,,"6,045,682",,"2,869,835",,2255009,,"614,826",,0,,0,,0,,0,,2502323,,"21,780,544",,0,,No
MTA New York City Transit,Brooklyn,NY,2008,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,"18,351,295","10,427",CB,DO,435,,0,,15.8,,14.54,,8.2,,"8,550,767",,"14,329,291",,8690192,,"5,639,099",,"902,454",,550076,,"352,378",,0,,0,,0,,0,,4510813,,"65,570,465",,356.7,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,646",YR,PT,16,,12,,24.63,,15.56,,43.27,,"1,120,969",,"1,267,915",,1236978,,"30,937",,"53,795",,50215,,"3,580",,"946,389",,"946,389",,"53,795",,"50,215",,2172963,,"33,820,460",,69.7,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,646",VP,PT,168,,0,,43.41,,28.85,,7.2,,0,,"2,881,885",,2881885,,0,,"66,394",,66394,,0,,0,,0,,0,,0,,478068,,"13,794,462",,0,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,646",MB,PT,182,,0,,12.15,,4.53,,13.62,,"7,391,693",,"8,205,631",,7055377,,"1,150,254",,"678,506",,580777,,"97,729",,0,,0,,0,,0,,7909259,,"35,822,144",,679,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,646",MB,DO,"1,880",,0,,14.11,,7.48,,22.55,,"70,941,279",,"89,655,126",,69544902,,"20,110,224",,"5,952,246",,4929055,,"1,023,191",,0,,0,,0,,0,,111164944,,"831,026,106",,"5,544.30",,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,646",LR,PT,42,,20,,16.58,,3.75,,104.71,,"1,809,860",,"1,929,113",,1893039,,"36,074",,"115,699",,114200,,"1,499",,"1,096,779",,"1,076,347",,"64,689",,"63,804",,11957780,,"44,894,834",,34.1,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,646",LR,DO,15,,15,,9.39,,2.25,,88.66,,"458,806",,"481,308",,470004,,"11,304",,"55,608",,50047,,"5,561",,"481,308",,"470,004",,"55,608",,"50,047",,4437270,,"9,991,369",,12.4,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,646",DR,PT,439,,0,,15.66,,6.28,,1.57,,0,,"17,839,733",,14741231,,"3,098,502",,"1,123,477",,941336,,"182,141",,0,,0,,0,,0,,1475977,,"9,264,182",,0,,No
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295","3,646",CR,DO,904,,105,,32.76,,22.01,,40.01,,"54,847,772",,"57,155,030",,54301350,,"2,853,680",,"1,953,118",,1657653,,"295,465",,"8,422,625",,"7,942,892",,"287,491",,"248,272",,66330426,,"1,459,936,301",,920.4,,No
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,482",RB,DO,26,,0,,15.53,,6.29,,53.59,,"1,615,038",,"1,613,351",,1564354,,"48,997",,"103,004",,100730,,"2,274",,0,,0,,0,,0,,5398482,,"33,978,651",,35.4,,No
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,482",VP,PT,"1,267",,0,,41.31,,45.45,,4.34,,0,,"24,415,911",,24415911,,0,,"591,048",,591048,,0,,0,,0,,0,,0,,2563168,,"116,497,421",,0,,No
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,482",MB,PT,134,,0,,11.73,,4.54,,22.54,,"5,381,901",,"6,547,441",,5361670,,"1,185,771",,"505,209",,457203,,"48,006",,0,,0,,0,,0,,10303587,,"46,736,330",,616.9,,No
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,482",MB,DO,"1,784",,0,,10.32,,3.99,,36.56,,"61,639,189",,"70,871,270",,59796984,,"11,074,286",,"6,313,481",,5794516,,"518,965",,0,,0,,0,,0,,211875282,,"844,757,744",,"3,180.20",,No
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,482",LR,DO,203,,74,,20.56,,7.57,,55.7,,"15,592,469",,"16,090,545",,15536688,,"553,857",,"792,734",,755749,,"36,985",,"6,384,468",,"6,156,417",,"309,440",,"294,220",,42098255,,"318,737,668",,171.9,,No
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996","3,482",HR,DO,68,,13,,21.9,,4.84,,108.41,,"6,821,561",,"6,973,555",,6801301,,"172,254",,"327,668",,310572,,"17,096",,"1,383,514",,"1,350,454",,"66,480",,"63,158",,33668265,,"162,927,528",,31.9,,No
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,371",VP,DO,"1,670",,0,,35.89,,22.99,,7.35,,0,,"5,295,537",,5295537,,0,,"147,548",,147548,,0,,0,,0,,0,,0,,1084802,,"24,936,518",,0,,No
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,371",TB,DO,127,,0,,6.61,,1.87, W ,23.33, W ,"3,303,806",,"2,530,256",,2375110,,"155,146",,"380,114",,359439,,"20,675",,0,,0,,0,,0,,8385162, W ,"15,704,827",W,116.9,,Yes
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,371",SR,DO,10,,10,,5.04,,1.24, W ,25.56, W ,"150,085",,"152,125",,147792,,"4,333",,"30,424",,29321,,"1,103",,"152,125",,"147,792",,"30,424",,"29,321",,749443, W ,"932,676",W,7.9,,Yes
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,371",MB,PT,29,,0,,10.79,,3.86,,5.43,,"780,365",,"902,132",,779440,,"122,692",,"77,140",,72232,,"4,908",,0,,0,,0,,0,,391935,,"1,514,647",,133,,No
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,371",MB,DO,"1,080",,0,,10.62,,4.3,,16.82,,"33,748,672",,"38,870,415",,30870826,,"7,999,589",,"3,368,003",,2905517,,"462,486",,0,,0,,0,,0,,48865809,,"210,354,213",,"1,403.90",,No
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,371",FB,DO,2,,0,,13.49,,6.1,,55.15,,"36,292",,"35,948",,35948,,0,,"2,664",,2664,,0,,0,,0,,0,,0,,146930,,"896,100",,24,,No
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,371",DR,TX,126,,0,,30.08,,11.61,,2.87,,0,,0,,905250,,0,,0,,30096,,0,,0,,0,,0,,0,,86460,,"1,003,831",,0,,No
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,1,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393","3,371",DR,PT,327,,0,,9.38,,10,,1.09,,0,,"6,348,763",,3913186,,"2,435,577",,"570,584",,416969,,"153,615",,0,,0,,0,,0,,455391,,"4,551,838",,0,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,304",HR,DO,998,,129,,23.34,,5.65,,51.02,,"81,860,566",,"82,234,530",,79847615,,"2,386,915",,"3,524,685",,3421264,,"103,421",,"11,770,449",,"11,432,619",,"505,929",,"489,793",,174540714,,"985,922,295",,234.2,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,304",DR,TX,310,,0,,22.03,,14.24,,1.69,,0,,0,,1487259,,0,,0,,67507,,0,,0,,0,,0,,0,,113913,,"1,621,988",,0,,No
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770","3,304",DR,PT,718,,0,,9.23,,11.14,,0.98,,0,,"18,754,212",,15878795,,"2,875,417",,"2,009,595",,1719723,,"289,872",,0,,0,,0,,0,,1680671,,"18,720,888",,0,,No
