Percentile Rank	Minimum	Maximum	Average Ridership	Avg VRM	Avg VRH	Avg UPT/VRM	Avg UPT/VRH	Avg Op Ex/UPT	Avg Op Ex/VRM	Avg Op Ex/VRH
1-10	0	4427	2343	32539	1794	0.07	1.31	38.21	2.75	49.89
11-20	4427	8954	6554	62997	3626	0.10	1.81	26.67	2.77	48.21
21-30	8954	13874	11495	96539	5576	0.12	2.06	23.37	2.78	48.17
31-40	13874	21652	17543	158946	8637	0.11	2.03	22.51	2.48	45.72
41-50	21652	30318	25875	180835	10447	0.14	2.48	19.84	2.84	49.13
51-60	30318	44216	36873	258638	14697	0.14	2.51	19.84	2.83	49.77
61-70	44216	65615	54245	349218	20026	0.16	2.71	17.74	2.76	48.05
71-80	65615	105905	85841	527910	30663	0.16	2.80	17.45	2.84	48.87
81-90	105905	205238	146627	740681	43555	0.20	3.37	15.01	2.97	50.53
>90	205238	5212525	603442	1372569	75695	0.44	7.97	7.99	3.51	63.68
Total	0	5212525	99349	378445	21490	0.26	4.62	11.75	3.08	54.30
