Percentile Rank	Minimum	Maximum	Average Ridership	Avg VRM	Avg VRH	Avg UPT/VRM	Avg UPT/VRH	Avg Op Ex/UPT	Avg Op Ex/VRM	Avg Op Ex/VRH
1-10	0	1625	3506	15807	885	0.22	3.96	17.30	3.84	68.49
11-20	1625	2811	6903	34927	2163	0.20	3.19	18.89	3.73	60.29
21-30	2811	4190	10984	53886	3489	0.20	3.15	17.48	3.56	55.04
31-40	4190	6044	13777	79517	5089	0.17	2.71	18.39	3.19	49.79
41-50	6044	8475	18719	119278	7244	0.16	2.58	19.53	3.07	50.48
51-60	8475	11687	26027	163560	10021	0.16	2.60	19.17	3.05	49.78
61-70	11687	16326	32703	220115	13985	0.15	2.34	19.86	2.95	46.44
71-80	16326	23274	47063	326215	19528	0.14	2.41	20.54	2.96	49.50
81-90	23274	39153	76245	514168	30305	0.15	2.52	19.48	2.89	49.01
>90	39153	772284	173132	1503300	82009	0.12	2.11	19.54	2.25	41.24
Total	0	772284	40959	303622	17501	0.13	2.34	19.52	2.63	45.68
