Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0.0,3.2,1.8,26.6,1.4,0.07,1.23,39.50,2.64,48.69
11-20,3.2,6.2,4.8,50.5,3.0,0.10,1.58,30.31,2.89,47.93
21-30,6.2,10.1,8.1,65.0,4.1,0.12,1.96,25.23,3.14,49.46
31-40,10.1,14.4,12.3,102.3,6.3,0.12,1.94,24.17,2.90,46.99
41-50,14.4,20.2,17.2,147.9,8.6,0.12,1.98,22.98,2.67,45.59
51-60,20.2,27.2,23.5,168.0,10.1,0.14,2.33,19.90,2.79,46.27
61-70,27.2,39.2,32.7,247.3,14.8,0.13,2.21,21.36,2.82,47.23
71-80,39.2,57.1,47.8,340.8,20.2,0.14,2.37,19.82,2.78,46.97
81-90,57.1,96.7,74.7,520.9,30.3,0.14,2.46,20.08,2.88,49.49
>90,96.7,"1,420.7",186.0,"1,362.2",75.8,0.14,2.46,17.51,2.39,43.00
Total,0.0,"1,420.7",41.0,303.6,17.5,0.13,2.34,19.52,2.63,45.68
