Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0.0,19.0,4.8,11.2,1.2,0.43,3.91,14.12,6.02,55.28
11-20,19.0,38.1,8.3,28.2,2.5,0.29,3.30,16.31,4.79,53.82
21-30,38.1,61.9,10.9,49.9,3.8,0.22,2.88,18.40,4.00,52.94
31-40,61.9,88.1,13.7,74.6,5.5,0.18,2.49,19.84,3.65,49.33
41-50,88.1,128.5,21.9,107.1,7.6,0.20,2.87,16.23,3.31,46.55
51-60,128.5,186.0,28.8,156.8,10.5,0.18,2.74,17.19,3.16,47.16
61-70,186.0,265.4,33.4,223.2,13.6,0.15,2.46,19.91,2.98,48.96
71-80,265.4,387.9,48.0,322.8,19.6,0.15,2.45,21.73,3.23,53.14
81-90,387.9,667.9,75.7,506.0,30.4,0.15,2.49,18.79,2.81,46.82
>90,667.9,"14,653.3",163.8,"1,550.5",80.0,0.11,2.05,20.34,2.15,41.62
Total,0.0,"14,653.3",41.0,303.6,17.5,0.13,2.34,19.52,2.63,45.68
