Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0.0,3.7,1.9,32.4,1.7,0.06,1.11,46.79,2.78,52.16
11-20,3.7,8.2,5.7,52.5,3.0,0.11,1.90,27.53,2.97,52.44
21-30,8.2,14.2,11.2,90.2,4.7,0.12,2.38,33.14,4.12,79.01
31-40,14.2,24.5,18.8,109.9,6.0,0.17,3.14,18.03,3.08,56.68
41-50,24.5,36.4,30.7,132.2,7.1,0.23,4.33,14.92,3.47,64.59
51-60,36.4,55.1,45.4,216.5,11.2,0.21,4.06,17.38,3.65,70.51
61-70,55.1,89.9,71.6,255.4,14.2,0.28,5.05,13.22,3.70,66.75
71-80,89.9,167.4,120.3,302.8,18.5,0.40,6.52,9.27,3.68,60.43
81-90,167.4,320.6,236.8,403.3,22.1,0.59,10.70,7.65,4.49,81.89
>90,320.6,"3,113.9",898.6,741.9,45.8,1.21,19.62,4.56,5.52,89.41
Total,0.0,"3,113.9",144.3,233.8,13.4,0.62,10.75,7.05,4.35,75.79
