Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0.0,1.9,5.2,18.9,1.0,0.27,4.95,13.38,3.66,66.27
11-20,1.9,2.9,9.1,36.9,2.4,0.25,3.86,13.72,3.39,52.96
21-30,2.9,4.1,16.4,70.4,3.4,0.23,4.78,14.61,3.40,69.84
31-40,4.1,6.4,23.3,100.9,5.3,0.23,4.36,18.10,4.18,78.96
41-50,6.4,8.4,46.1,134.0,7.4,0.34,6.22,10.31,3.54,64.10
51-60,8.4,10.9,58.0,168.6,9.8,0.34,5.93,11.80,4.06,69.99
61-70,10.9,14.4,96.1,223.7,12.8,0.43,7.51,8.89,3.82,66.74
71-80,14.4,20.4,144.7,301.2,17.3,0.48,8.38,8.79,4.22,73.64
81-90,20.4,30.1,240.3,409.1,24.7,0.59,9.72,6.65,3.91,64.60
>90,30.1,129.6,802.0,872.3,50.0,0.92,16.03,5.52,5.08,88.58
Total,0.0,129.6,144.3,233.8,13.4,0.62,10.75,7.05,4.35,75.79
