Percentile Rank,Minimum,Maximum,Average Ridership,Avg VRM,Avg VRH,Avg UPT/VRM,Avg UPT/VRH,Avg Op Ex/UPT,Avg Op Ex/VRM,Avg Op Ex/VRH
1-10,0.0,24.5,6.3,14.2,1.2,0.45,5.11,10.75,4.80,54.91
11-20,24.5,45.3,9.4,34.2,2.6,0.28,3.65,13.32,3.67,48.64
21-30,45.3,72.6,24.8,57.5,3.9,0.43,6.33,10.00,4.32,63.30
31-40,72.6,101.5,28.7,86.9,5.7,0.33,5.02,14.78,4.88,74.21
41-50,101.5,148.9,56.8,126.8,8.0,0.45,7.12,9.39,4.21,66.87
51-60,148.9,196.6,74.5,176.0,10.4,0.42,7.13,9.24,3.91,65.85
61-70,196.6,257.2,107.5,219.3,13.3,0.49,8.09,7.49,3.67,60.57
71-80,257.2,360.6,161.1,300.3,17.3,0.54,9.33,7.50,4.02,69.90
81-90,360.6,530.5,300.0,422.7,23.5,0.71,12.76,5.98,4.25,76.30
>90,530.5,"2,250.7",672.4,898.6,48.3,0.75,13.93,6.36,4.76,88.62
Total,0.0,"2,250.7",144.3,233.8,13.4,0.62,10.75,7.05,4.35,75.79
